date,special,prize1,prize2_1,prize2_2,prize3_1,prize3_2,prize3_3,prize3_4,prize3_5,prize3_6,prize4_1,prize4_2,prize4_3,prize4_4,prize5_1,prize5_2,prize5_3,prize5_4,prize5_5,prize5_6,prize6_1,prize6_2,prize6_3,prize7_1,prize7_2,prize7_3,prize7_4
2023-05-26,36191,12247,74125,55916,50939,18172,11720,73339,73686,22536,1413,7656,2151,9010,3208,7195,4948,3210,9463,955,188,203,342,53,31,11,3
2023-05-27,96237,71344,42533,9954,96746,15579,95688,52419,28175,26519,6364,8867,3211,1681,1698,8940,8762,7901,5425,2843,849,191,24,76,31,54,45
2023-05-28,79459,32985,36739,28089,824,84828,31874,10126,29991,97383,9781,9537,5387,9377,7327,8876,8618,448,3320,6967,972,313,256,71,50,32,80
2023-05-29,85867,98338,10638,56467,71926,87565,57336,56415,7553,67042,6742,1749,8665,992,594,4871,7149,8937,3123,4242,948,191,615,78,91,21,34
2023-05-30,20765,15037,35868,93065,57840,39646,93650,76407,80500,27833,7861,9818,7371,560,7185,130,9462,2951,104,1993,287,387,650,96,60,37,21
2023-05-31,88961,40956,31944,49287,19424,5612,78426,30296,38763,87816,9466,8678,4184,2567,7313,3260,1908,1779,7508,4262,169,307,843,87,2,22,91
2023-06-01,95921,60072,60772,42018,90528,85129,93364,58075,83241,77085,6817,1204,2635,4543,3317,1198,1200,4091,1777,7879,188,582,598,81,27,71,20
2023-06-02,71963,3825,76720,67605,83562,75355,8354,71442,30105,41776,619,8323,185,4008,2134,7958,9097,7851,7373,7684,307,353,763,16,34,19,29
2023-06-03,370,78005,16546,35426,15605,56082,31226,67812,4642,88608,2225,9739,3893,4075,4130,2099,9557,8041,9044,883,679,741,845,8,65,40,83
2023-06-04,4408,98155,29784,89293,39341,14393,11089,61352,867,38422,2710,2069,7376,8015,2800,3282,3775,197,7450,6606,870,440,693,64,73,67,90
2023-06-05,81,1905,71137,44821,88844,27295,4627,95334,72220,93683,7165,3883,2157,8958,9446,1015,2351,7270,6125,8146,757,450,720,28,92,48,79
2023-06-06,83079,15731,32457,82498,53158,75486,27217,33818,63859,80647,3761,3762,1876,5343,2168,2834,1420,3322,2013,4508,425,236,119,70,90,7,34
2023-06-07,40357,11456,44223,10852,46358,34034,66918,95949,25795,45788,9566,6046,716,3577,763,3222,6881,2226,9182,24,14,56,738,17,72,69,82
2023-06-08,13437,1318,28445,82535,71477,39624,54759,25625,23113,63826,4472,8981,7954,986,5344,9805,4411,8024,3303,3715,934,777,592,66,88,48,31
2023-06-09,84288,4963,74125,38700,73140,26876,60883,12566,74298,52888,391,5921,8049,3886,1500,2489,8181,3870,1998,2926,46,845,943,84,68,82,38
2023-06-10,1936,55702,21837,13114,8654,54284,25038,62695,93652,66007,8658,7816,4181,5440,9502,63,9147,3150,5628,3045,422,133,144,36,39,68,88
2023-06-11,46260,22720,81504,2173,16658,20643,72434,5068,21857,41825,1921,6654,3727,7848,6263,249,2221,9684,5345,4156,967,239,243,96,57,78,64
2023-06-12,55442,33251,65623,42048,68726,89403,20511,62202,52994,94397,1802,7934,2963,1958,7198,5514,8294,7181,1766,9753,273,439,837,1,39,63,68
2023-06-13,88661,71607,94150,94670,11530,33641,22483,1947,54186,71865,1544,3281,3871,3994,4647,4110,6011,4773,5905,5281,748,272,904,78,73,79,5
2023-06-14,57854,34686,27752,68091,15266,4005,47339,36541,59037,27890,5866,4320,8636,6531,7548,4237,7577,1608,3000,3811,854,832,350,7,48,49,6
2023-06-15,46904,84800,98348,12229,53861,52351,70551,34806,70498,95789,6537,3633,5213,4450,4072,1844,5044,2857,3142,3607,368,359,314,61,63,64,41
2023-06-16,76830,13239,15720,13993,81372,54796,83888,74122,95035,42408,5949,5284,9319,688,5407,7853,4409,6202,2997,3674,367,132,155,7,66,2,1
2023-06-17,96361,7849,66045,88316,39464,33119,55398,70842,49488,59270,1677,8485,9518,9825,798,1303,406,674,5295,845,468,316,379,52,87,61,1
2023-06-18,94351,86452,40375,70701,16826,73799,20523,29253,46513,59983,8752,1003,1258,694,4692,6076,1357,2315,639,106,792,419,788,99,72,27,42
2023-06-19,59915,92664,15899,32550,52470,29461,86414,90623,25179,91571,3463,9199,3287,6446,6391,51,9358,8456,2066,6852,633,901,624,84,71,31,96
2023-06-20,51232,37107,28488,15667,67829,95115,22549,94218,88276,22122,3666,3895,482,2513,5562,3273,6925,2201,8508,5024,768,6,915,60,2,53,33
2023-06-21,58534,47248,31378,24891,66224,32447,9625,20190,45955,79430,7401,4890,2121,4604,2913,7949,6502,5611,9775,5422,695,283,59,28,6,57,26
2023-06-22,84267,2244,93702,67381,11966,10243,59342,89468,21046,34369,8713,5009,1257,6787,5544,3116,7782,9557,5042,6535,124,416,17,84,51,99,0
2023-06-23,83660,29556,84109,8146,94501,89896,47585,80207,97187,361,4205,2870,8205,899,5152,3767,5317,5262,3839,5697,662,169,936,36,84,41,44
2023-06-24,9870,73087,81633,72969,89847,26356,34405,84024,47303,24618,872,6015,3948,9391,2205,4589,4261,9558,773,6257,830,443,674,20,54,27,39
2023-06-25,63634,89812,83546,2844,3095,31835,1834,53707,10733,27255,2684,8989,2268,5181,406,8073,3678,8809,787,7548,446,547,268,43,62,13,16
2023-06-26,3493,78387,81896,44142,5378,90969,81654,54779,28751,19230,3278,6555,1402,1499,2550,5069,9460,9828,3893,9571,595,405,877,57,28,21,82
2023-06-27,49195,69643,26181,62071,87839,47623,6396,11497,4474,84913,9536,6706,1662,5744,4329,4207,6959,4763,9892,4007,19,409,161,79,9,24,82
2023-06-28,97495,12576,12020,52689,32283,74893,80249,63647,18732,4894,6498,9089,1696,6318,5906,9505,3506,4668,8182,9603,948,415,30,65,20,47,61
2023-06-29,6920,56675,67716,70226,25883,78117,84401,10799,94060,69390,144,9883,7643,6236,3976,38,5573,135,392,6592,424,847,468,13,87,98,36
2023-06-30,69851,88124,66159,11919,7922,80284,92702,43791,92613,53904,4262,5196,2479,4379,2466,8092,8630,6719,3089,6022,207,869,283,89,82,8,34
2023-07-01,90746,8218,49755,48773,85978,76817,1272,70460,33373,84819,2816,7971,8278,5631,2252,491,9252,7354,2482,8442,968,396,817,5,22,47,87
2023-07-02,57123,20479,94195,90632,9599,24595,62714,10302,29610,84396,499,8769,9271,1209,9426,1181,7561,1683,4179,165,999,275,227,21,23,12,96
2023-07-03,96894,3260,17064,71834,86082,55306,22767,85062,6138,27224,6983,2670,2483,7136,7354,5524,1596,1151,3202,4001,5,551,305,49,8,10,5
2023-07-04,6883,50713,48058,74292,37720,15297,20477,30203,80621,91467,689,1614,6370,331,5062,9011,2825,8709,5494,2724,376,872,148,85,9,33,50
2023-07-05,29397,3549,58203,74554,81540,48943,78444,49005,63573,24035,3287,808,3898,9832,3029,436,5367,7625,1862,973,288,449,991,47,18,8,1
2023-07-06,44798,94748,30095,36372,1428,55314,61653,45485,52116,52671,7701,1381,9393,4736,7019,1019,4066,2179,283,8953,322,406,805,95,5,36,57
2023-07-07,93076,94746,78078,12706,23849,92420,73292,31179,1655,13960,155,7242,3503,7485,5440,4198,2074,7057,3193,7035,784,719,419,12,19,90,84
2023-07-08,98215,82428,36753,21404,20556,64130,78489,2257,34419,12872,2467,8893,8792,5647,1537,3208,2426,5558,6380,407,723,953,821,2,23,33,46
2023-07-09,5408,68722,72072,36681,1296,98213,27176,41124,62013,23342,2637,8365,6432,2073,8201,2108,8851,5972,4691,9401,378,129,806,4,26,50,66
2023-07-10,58222,29421,46895,15004,27829,66516,36514,41484,54733,23111,7367,9549,3143,457,1272,6107,431,2411,4662,9170,888,290,934,87,34,51,72
